dataset,num_samples,num_labels,vocab_size,avg_doc_length_tfidf_tokens,min_doc_length_tfidf_tokens,max_doc_length_tfidf_tokens,train_samples,test_samples
imdb,10000,10,39013,55.56,9,553,8000,2000
wiki,9601,10,64454,225.47,7,2749,7680,1921
