word,count
find,10016
one,9263
get,8460
take,8442
go,8353
tell,7393
back,7216
kill,6960
father,6760
two,6334
friend,6206
love,6028
life,5909
police,5773
man,5669
later,5562
return,5477
time,5454
new,5253
also,5243
home,5180
day,5167
house,5153
try,5011
come,4945
make,4941
help,4884
family,4869
meet,4767
see,4645
